52141-0651-494,0,8,15.33,-9,58,54.3,1.9516,12.52,0,1.47,4,2
52994-1490-147,0,8,22.07,0,23,2.8,3.1013,5.22,0,0.88,0,0
54327-2630-074,0,8,26.77,-5,6,36.4,2.1721,8.22,0,1.49,1,0
51793-0388-083,0,8,38.29,0,51,56.8,2.8917,9.36,0,0.68,0,0
52519-0686-082,0,8,39.31,0,53,36.8,2.6195,23,0,1.31,2,1
52519-0686-503,0,8,44.7,0,25,50.5,2.1214,14.19,0,3.31,2,1
51793-0388-098,0,9,4.41,0,43,32.8,1.8286,4.81,0,2.17,0,0
52994-1490-542,0,9,6.93,0,32,52.6,2.6246,17.92,0,2.1,1,0
52519-0686-502,0,9,10.85,0,40,28.6,1.7886,12.03,0,2.81,0,0
52903-1090-581,0,9,12.08,0,58,18.2,2.6772,17.78,0,0.71,0,0
52519-0686-523,0,9,12.69,1,9,19,2.4704,7.47,0,1.77,0,0
52251-0752-343,0,9,19.26,15,23,55.1,1.9398,11.49,0,1.57,0,0
52994-1490-580,0,9,20.01,0,56,18.4,2.3873,8.4,0,0.65,2,2
52141-0651-523,0,9,22.4,-8,48,39.6,2.3242,12.72,0,1.41,3,0
52141-0651-090,0,9,49.1,-10,58,10.8,2.0699,6.65,0,0.83,0,0
52251-0751-016,0,9,50.51,14,10,2.1,3.1506,6.67,0,2.77,2,1
54389-2822-635,0,10,13.49,25,26,21.4,2.6983,13.45,0,0.72,3,0
52996-1491-395,0,10,16.49,0,12,27.6,2.2761,7.84,0,1.58,1,0
52138-0652-316,0,10,17.51,-10,2,38.9,1.8195,6.54,0,1.34,0,0
51793-0388-607,0,10,17.8,1,4,50.7,1.8194,20.23,0,1.42,0,0
52519-0686-113,0,10,20.28,0,7,38.8,2.1529,8.56,0,3.31,0,0
51793-0388-114,0,10,22.14,0,37,1.2,3.1518,12.43,0,1.55,4,3
52138-0652-353,0,10,34.61,-9,57,23.7,2.037,13.96,0,3.02,0,0
52994-1490-587,0,10,44.42,0,33,44.7,2.5521,9.04,0,3.06,0,0
51795-0389-301,0,10,50.95,0,31,33.2,2.053,7.6,0,0.81,0,0
51795-0389-348,0,10,53.56,0,6,42.9,1.873,19.47,0,1.53,0,0
52141-0651-569,0,10,54.4,-8,54,38.6,1.7452,12.68,0,1.79,0,0
52519-0686-561,0,10,57.59,1,10,11.5,3.106,10.16,0,0.97,4,1
52251-0751-632,0,11,11.13,15,10,34.8,1.7322,7.97,0,0.73,3,1
